Patent Number,Title,Unique Identifier,
WO2007114003-A1; JP2007270061-A; AU2007231962-A1; CN101410488-A; RU2008143258-A; RU2428456-C2; AU2007231962-B2; CN101410488-B; VN10013289-B; MY148342-A,"Manufacture of liquid fuel base material for liquid fuel e.g. gasoline, involves hydrocracking paraffin hydrocarbon at preset decomposition ratio in presence of catalyst containing zeolite having preset average particle diameter.",DIIDW:2007786559,
MY179788-A,Producing renewable levulinic acid catalyzed by iron modified,DIIDW:202294041U,
CN107758682-A,"Method for one-time utilization of aluminum oxide in aluminum ash for use in preparation of sodium aluminate for 4A zeolite, involves finely milling aluminum ash, mixing with sodium carbonate, calcining, dissolving in dilute alkali solution.",DIIDW:201819997Y,
WO2018007484-A1,"Making gasoline type reformate from main feed having alcohols e.g. methanol, comprises e.g. reacting reaction feed over zeolite-containing catalyst, and separating formed reaction effluent into aqueous, gas and liquid hydrocarbon phases.",DIIDW:2018029688,
JP2001213862-A; JP4681705-B2,"Manufacture of approximatelyi-caprolactam involves reacting cyclohexanone oxime in presence of solid zeolite catalyst whose surface is deposited with boron oxide, under gas phase reaction conditions.",DIIDW:2002002250,
CN104386937-A; CN104386937-B,"Fly ash baking-free brick composite activator, comprises iron chloride, sodium carbonate, sodium hydroxide and super-fine zeolite powder, where super-fine zeolite powder is natural or artificially synthesized mordenite or clinoptilolite.",DIIDW:201525304H,
FR3145293-A1; WO2024156959-A1; TW202436228-A; IN202517068305-A; KR2025129068-A; CN120584089-A,"Silicalite type zeolite crystal for adsorbing organic compound e.g. volatile organic compound, has preset number-average, width/length ratio, thickness/length ratio, and monomodal particle size distribution having peak width, which are as determined by observation under scanning electron microscope.",DIIDW:202482186F,
WO2023059961-A1; CA3233969-A1; CN118055906-A; KR2024073952-A; EP4412957-A1; JP2024536995-W; US2024383763-A1; EP4412957-B1,"New aluminosilicate zeolite having X-ray diffraction pattern including peaks in calcined form, used to convert organic compound to conversion product and for gas separation and drying, organic conversion reactions, and other applications.",DIIDW:202338055X,
CN114797961-A; CN114797961-B,"Synthesizing a ZSM5/ZSM11 co-crystallized zeolite catalyst useful for alkylation reaction of ethanol and benzene, comprises using USY, 1,6-hexanediamine, deionized water and inorganic base as raw materials, crystallizing the initial raw material mixture and calcining.",DIIDW:2022A1303X,
CN103252254-A; CN103252254-B,"Catalyst for condensing of acetaldehyde and ammonia and synthesizing 2-methyl pyridine and 4-methyl pyridine, comprises zeolite molecular sieve as carrier, and is modified by chromium, lanthanum and platinum.",DIIDW:2013U73672,
CN119613230-A,"Synthesis of p-tert-butyl catechol involves mixing catechol, composite catalyst and mixed solvent, introducing inert gas, reacting, filtering and separating to obtain reaction solution, and purifying.",DIIDW:202530951B,
KR2024163985-A,"Preparing zeolite-alginate hydrogel composite comprises preparing alginic acid solution by reacting alginic acid and zeolite powder, producing zeolite-alginate hydrogel by reacting with cation solution, and aging zeolite-alginate hydrogel.",DIIDW:2024C2430B,
CN107010640-A; CN107010640-B,"Solid phase synthesizing molecular sieve has microporous molecular sieve zeolite socony mobil-5 structure and controllable grain size, and has reduced the emission of waste water, and realized green synthesis route of molecular sieve.",DIIDW:201754587K,
CN116983966-A,"Preparing zeolite socony mobil-5 molecular sieve type ion hole adsorbent comprises using solvent thermal synthesis method, grinding with lithium source and high temperature calcining to reach of lithium ion entering into molecular sieve framework, and removing lithium ion by acid treatment method.",DIIDW:2023C3456M,
WO2022270400-A1; JP2023530399-X; JP7738868-B2,"Producing cyclopentadiene, involves cyclization dehydrogenation step for obtaining reaction product containing cyclopentadiene by contacting raw material composition containing branched hydrocarbon with zeolite catalyst having mobil-type five structure.",DIIDW:202300750X,
JP2019038777-A; JP6979615-B2,"Manufacturing lower olefin by making catalyst which can generate methanol by using synthesis gas as raw material, and methanol to olefin (MTO) catalyst to contact, and physically mixing two types of catalyst or in the same particle.",DIIDW:2019243129,
KR1940409-B1; WO2019035628-A1; CN111032571-A; EP3670451-A1; US2020223707-A1; JP2020535095-W; EP3670451-A4; US10927011-B2; JP7020658-B2; CN111032571-B,"Preparing CHA zeolite, comprises preparing synthetic mother liquor containing silica and alumina raw material zeolite Y, trimethyladamantylammonium hydroxide, sodium hydroxide, and water, hydrothermally reacting and baking.",DIIDW:2019100466,
WO2022187320-A1; WO2022187320-A8; CN116888074-A; EP4301699-A1; JP2024510925-W; US2024132789-A1; US2024228893-A9; IN202317062937-A; EP4301699-A4,Catalytic cracking of hydrocarbon feedstock comprises contacting feedstock with first catalyst component comprising phosphorus modified UZM-35 zeolite and first non-zeolitic matrix.,DIIDW:2022B5966M,
CN111085259-A,Composite material comprises SAPO-34 zeolite as core layer and silica as shell layer.,DIIDW:202039493P,
US6048815-A,"Catalyst composition for converting non-aromatic hydrocarbons to aromatic hydrocarbons and light olefins, comprises a zeolite and zinc spinel which are treated with reducing gas at predetermined temperature.",DIIDW:2000316902,
WO2020229609-A1; CN113874321-A; KR2022008872-A; EP3969420-A1; IN202127055322-A; JP2022532745-W; US2022324716-A1; JP7648541-B2; US12264076-B2; US2025197230-A1; IN570862-B; KR2881133-B1,Producing zeolitic material comprises e.g. making mixture having sources of silicon dioxide and oxide moiety and seed crystals having zeolitic material and heating obtained mixture to forming material having zeolite intergrowth phases.,DIIDW:2020B3703F,
WO2018236836-A1; TW201904872-A; CA3067708-A1; CN110770170-A; KR2020018638-A; IN201917053669-A; SG11201911295-A1; US2020115247-A1; EP3649079-A1; BR112019027327-A2; JP2020524656-W; HK40015092-A0; RU2735527-C1; US10843929-B2; KR2346811-B1; CA3067708-C; JP7164601-B2; MY192468-A; IL271071-A; IN463272-B; TW826378-B1; BR112019027327-B1; SG11201911295-B; IL271071-B,"Synthesizing SSZ-39 zeolite involves forming aqueous reaction mixture which includes at least one oxide of silicon, faujasite, at least one organic structure directing agent, at least one pore filling agent, alkali metal hydroxide and water.",DIIDW:201900094N,
CN105087041-A,"Synthesizing bi-functional catalyst involves mixing coal, natural gas and biomass to obtain a mixture, where the ratio of hydrogen and carbon monoxide is adjusted.",DIIDW:2015801779,
JP2019205969-A; JP7091842-B2,"Catalyst for producing paraxylene, reducing carbon dioxide and as raw material for polyethylene terephthalate, comprises chromium oxide and H- zeolite Socony Mobil-5 zeolite having surface coated with silicalite-1.",DIIDW:2019A2382B,
CN109928404-A,"Synthesizing zeolite molecular sieve comprises mixing inorganic base, aluminum source, silicon source, and water to obtain gel, drying the gel, introducing the water vapor, crystallization reaction, washing the solid product, and drying.",DIIDW:2019597140,
CN104549478-A; CN104549478-B,"Preparation of magnesium oxide-modified SAPO-34 modified zeolite used to produce low-carbon olefin catalyst, comprises synthesizing SAPO-34 zeolite powder, adding soluble magnesium salt solution, and adding oxalate-containing precipitant.",DIIDW:2015473445,
JP2009101308-A,"Hydrogenation isomerization catalyst of hydrocarbon for manufacturing liquid fuel base material comprises zeolites with one dimensions-like pore structure, and metal of specified groups of periodic table.",DIIDW:2009J28425,
MY135507-A,"Hydrodewaxing waxy Fischer-Tropsch hydrocarbons produced over a cobalt catalyst involves contacting the hydrocarbons with hydrogen, in the presence of an unsulfided, treated hydrodewaxing catalyst.",DIIDW:2014C19967,
US2009048094-A1,"New catalyst comprising noble metal nanoparticles or metal nano-particles contained in a zeolite cage, useful in hydrogenation, dehydrogenation, isomerization, aromatization and oxidation reactions.",DIIDW:2009F23976,
CN112645350-A,"Synthesis method of nano Zeolite Socony Mobil-5 zeolite, comprises mixing deionized water, sodium hydroxide, adding aluminum sulfate octadecahydrate, sulfuric acid, filtering te crystallized product, drying, and calcining.",DIIDW:202143681K,
US2001002426-A1; US6458736-B2,Hydrocarbon conversion process utilizes a zeolite-bound zeolite catalyst including a binder comprising particles of a second zeolite of average size less than the first zeolite particles.,DIIDW:2001335216,
WO200071776-A1; AU200051535-A; US6287645-B1; US6472030-B1,Forming molecular sieve oriented film using pulsed laser ablation and heating the film in a synthesis gel.,DIIDW:2001016416,
KR2025111544-A,"Preparing zeolite catalyst useful for glucose conversion reaction involves synthesizing borosilicate MWW zeolite precursor, adding B-MWW(P) to acid solution to prepare deboronated MWW, mixing deboronated MWW.",DIIDW:2025738001,
CN109721067-A; CN109721067-B,"Synthesizing aluminum-rich ZSM-23 zeolite in sustainable route, comprises placing silicon source, aluminum source and alkali source in mortar,transferring to reaction vessel, adding water, propanol and performing crystallization reaction.",DIIDW:201942875M,
CN110683555-A; WO2021042951-A1; CN110683555-B,"Performing synthetic process of silica zeolite involves performing hydrothermal reaction to synthesize precursor silicalite-1, and synthesizing precursor silicalite-1 by hydrothermal reaction in R-SiO2-H2O reactant system.",DIIDW:202007427F,
WO2018180563-A1; CN110446543-A; JP2019509262-X; DE112018001751-T5; US2020030753-A1; JP6740460-B2; US10835875-B2; CN110446543-B,"AFX zeolite film used for manufacturing film structures used for separation and concentration of target components from e.g. gaseous mixture, has specific peak intensities with respect to specific surfaces in X-ray diffraction pattern.",DIIDW:201877607Y,
WO2018180564-A1; CN110446544-A; JP2019509263-X; DE112018001799-T5; US2020023319-A1; JP6740461-B2; US10894234-B2; CN110446544-B,"AFX zeolite film used for manufacturing film structures used for separation and concentration of target components from e.g. gaseous mixture, has specific peak intensities with respect to specific surfaces in X-ray diffraction pattern.",DIIDW:201877607X,
JP2014024006-A,"Zeolite catalyst for manufacture of lower olefin, is crystalline aluminosilicate having MFI-type structure and preset ratio of number-of-moles of iron element with respect to sum of number-of-moles of iron and aluminum elements.",DIIDW:2014C43846,
KR891001-B1,"Manufacturing zeolite-5-silicoaluminophosphate-34 complex catalyst for producing light olefins, involves preparing alumina-silica mixture solution of zeolite-5 by mixing alumina precursor solution and silica precursor solution.",DIIDW:2009H23639,
WO2019154071-A1; CN111601772-A; KR2020118129-A; US2020360907-A1; EP3749611-A1; IN202027034571-A; JP2021512840-W; EP3749611-A4,"Preparation of zeolitic material e.g. zeolite-Y, involves preparing synthesis mixture comprising zeolitic material having FAU-type and RTH-type framework structures, and subjecting to hydrothermal crystallization.",DIIDW:201970862N,
CN113908881-A,Eutectic zeolite socony mobil-MOR molecular sieve used as catalysts for disproportionation reaction of trimethylbenzene to synthesize tetramethylbenzene.,DIIDW:202215786T,
WO2015095201-A1; WO2015095201-A9; US2016318006-A1,"Catalyst composition used for preparing dimethyl ether, comprises specified amount of methanol synthesis component containing copper, zinc, aluminum and manganese oxide, and dehydration component containing acid catalyst.",DIIDW:201536520H,
CN108211821-A; CN108211821-B,"Hydrophilic molecular sieve membrane is synthesized by secondary growth method on porous support and on ZSM zeolite membrane after calcination to remove template agent, where porous carrier is tubular type or hollow fiber type.",DIIDW:201853523W,
CN101863490-A; CN101863490-B,"Synthesizing all-silicon beta-zeolite with small crystals, useful e.g. as carrier for loading catalyst, comprises mixing silicon-, fluoride ion, tetraethylammonium ion source and water, crystallizing and recycling all-silicon zeolite.",DIIDW:2010P33423,
